stock_id,start,end,measure,market
6531,2026-04-27,2026-05-11,5分撮合,上市
6548,2026-06-04,2026-06-17,5分撮合,上櫃
6617,2026-07-08,2026-07-21,5分撮合,上櫃
6620,2026-06-26,2026-07-09,5分撮合,上櫃
6643,2026-04-24,2026-05-08,5分撮合,上櫃
66722,2026-07-07,2026-07-20,5分撮合,上櫃
6683,2026-06-29,2026-07-10,5分撮合,上櫃
6727,2025-08-11,2025-08-22,5分撮合,上櫃
6727,2025-08-14,2025-08-27,20分撮合,上櫃
6727,2025-08-19,2025-09-01,20分撮合,上櫃
6727,2025-10-29,2025-11-11,5分撮合,上櫃
6727,2026-03-18,2026-03-31,5分撮合,上櫃
6727,2026-04-08,2026-04-21,20分撮合,上櫃
6770,2026-01-09,2026-01-22,5分撮合,上市
6770,2026-06-02,2026-06-15,5分撮合,上市
6831,2026-07-15,2026-07-28,5分撮合,上市
6890,2026-06-09,2026-06-23,5分撮合,上市
6890,2026-06-12,2026-06-26,20分撮合,上市
6907,2026-07-17,2026-07-30,5分撮合,上櫃
707059,2026-06-29,2026-07-10,20分撮合,上櫃
708915,2026-07-09,2026-07-22,5分撮合,上櫃
7556,2026-04-17,2026-04-30,5分撮合,上櫃
7703,2025-09-04,2025-09-17,5分撮合,上櫃
7714,2026-07-17,2026-07-30,5分撮合,上櫃
7769,2026-05-14,2026-05-27,5分撮合,上市
7795,2026-07-06,2026-07-17,5分撮合,上市
8021,2026-07-03,2026-07-16,20分撮合,上市
80212,2026-07-03,2026-07-16,20分撮合,上櫃
8024,2026-06-30,2026-07-13,5分撮合,上櫃
8027,2026-05-06,2026-05-19,5分撮合,上櫃
8027,2026-05-25,2026-06-05,20分撮合,上櫃
8027,2026-06-18,2026-07-02,20分撮合,上櫃
8027,2026-07-14,2026-07-27,20分撮合,上櫃
80273,2026-07-14,2026-07-27,20分撮合,上櫃
8033,2025-08-01,2025-08-18,5分撮合,上市
8033,2025-08-08,2025-08-21,20分撮合,上市
8033,2025-08-29,2025-09-11,20分撮合,上市
8033,2025-09-19,2025-10-03,20分撮合,上市
8033,2025-10-15,2025-10-29,20分撮合,上市
8033,2025-12-04,2025-12-19,5分撮合,上市
8033,2026-01-15,2026-01-28,20分撮合,上市
8033,2026-03-06,2026-03-19,20分撮合,上市
8033,2026-07-03,2026-07-16,5分撮合,上市
8042,2026-05-11,2026-05-22,5分撮合,上櫃
8042,2026-05-14,2026-05-27,20分撮合,上櫃
8042,2026-05-28,2026-06-10,20分撮合,上櫃
8042,2026-06-18,2026-07-02,20分撮合,上櫃
8043,2025-10-28,2025-11-12,5分撮合,上櫃
